11,グラスワンダー,1469,896,1564,647,1326,A,F,G,A,B,A,E,A,A,F,4,夏ウマ娘◎,冬ウマ娘◎,全身全霊,王手,
5,フジキセキ,1294,1702,1079,1599,862,A,D,B,A,S,D,B,A,C,G,4,円弧のマエストロ,,,,
13,エルコンドルパサー,1108,1203,1262,1037,1267,A,A,F,A,A,S,D,A,A,C,4,コーナー巧者〇,コーナー回復〇,直線巧者,全身全霊,王手
38,スーパークリーク,1231,1247,1461,858,990,A,G,G,G,A,S,C,A,A,G,4,末脚,,,,
31,ウイニングチケット,1487,1248,1115,1241,1253,S,F,G,F,A,S,F,B,A,G,4,良バ場◎,春ウマ娘◎,冬ウマ娘◎,全身全霊,
27,ライスシャワー,1368,1647,947,1412,838,S,F,E,C,A,A,A,A,B,G,4,コーナー巧者〇,コーナー回復〇,ハヤテ一文字,,
3,トウカイテイオー,1804,1274,1170,1294,1063,A,G,F,E,S,A,C,A,B,E,4,コーナー巧者〇,コーナー回復,直線巧者,末脚,
45,ミスターシービー,1584,1538,1166,1135,1300,A,G,G,B,A,A,G,E,A,A,4,全身全霊,迫る影,,,
34,カレンチャン,1512,950,1121,1469,1278,A,F,S,D,G,F,S,A,D,G,2,コーナー巧者〇,コーナー回復〇,全身全霊,迫る影,
25,メジロライアン,1369,1506,1774,1364,985,A,F,E,C,A,S,E,A,A,F,4,円弧のマエストロ,全身全霊,,,
28,アイネスフウジン,1254,1285,1008,1354,1088,A,G,G,A,S,C,A,B,F,G,4,右回り◎,,,,
21,ビワハヤヒデ,1620,1052,1460,1305,1157,S,E,F,C,A,A,D,A,A,E,4,弧線のプロフェッサー,コーナー回復〇,直線巧者,,
22,マヤノトップガン,1437,1703,1305,1201,1234,A,E,D,D,A,A,S,A,A,B,4,全身全霊,,,,
12,メジロマックイーン,1532,1038,1241,712,1326,A,D,G,F,A,A,A,A,C,F,2,春ウマ娘◎,夏ウマ娘◎,冬ウマ娘◎,末脚,会心の一歩
24,ミホノブルボン,1635,1381,1435,1178,824,A,F,C,B,A,S,A,E,G,G,4,直線巧者,,,,
26,ヒシアケボノ,1511,900,1535,1620,728,A,F,A,B,B,F,A,A,B,G,4,左回り◎,冬ウマ娘◎,コーナー巧者〇,直線巧者,
阪神,2000,雪,重,右,11-2-551-15-3,5-4-515-9-2,13-2-554-10-2,38-3-554-13-2,31-3-555-5-3,27-2-445-8-2,3-2-155-6-2,45-3-435-1-4,34-1-555-16-2,25-3-541-2-3,28-3-555-11-1,21-1-253-4-2,22-5-525-3-1,12-5-555-14-2,24-2-355-7-1,26-5-555-12-2,,
